Borough,Board Number,Link to Notes,Website,Who?
Brooklyn,1,https://www1.nyc.gov/html/bkncb1/downloads/pdf/combined_public_hearing_and_board_meeting_minutes_2_12_19.pdf,https://www1.nyc.gov/html/bkncb1/html/home/home.shtml,Cara
Brooklyn,2,,https://www1.nyc.gov/site/brooklyncb2/index.page,
Brooklyn,3,https://www1.nyc.gov/assets/brooklyncb3/downloads/pdf/minutes_of_the_february_2019_meeting.pdf,https://www1.nyc.gov/site/brooklyncb3/index.page,
Brooklyn,4,,https://www1.nyc.gov/site/brooklyncb4/index.page,
Brooklyn,5,,http://www.brooklyncb5.org/,
Brooklyn,6,https://www1.nyc.gov/site/brooklyncb6/meeting-minutes/meeting-minutes.page,https://www1.nyc.gov/site/brooklyncb6/index.page,
Brooklyn,7,,https://www1.nyc.gov/site/brooklyncb7/index.page,
Brooklyn,8,http://www.brooklyncb8.org/docs/cb%20mins%20feb%202019.pdf,http://www.brooklyncb8.org/,
Brooklyn,9,http://www.communitybrd9bklyn.org/downloads/cb-minutes/,http://www.communitybrd9bklyn.org/,
Brooklyn,10,https://www1.nyc.gov/site/brooklyncb10/board/minutes.page,https://www1.nyc.gov/site/brooklyncb10/index.page,
Brooklyn,11,,https://www.brooklyncb11.org/,
Brooklyn,12,,N/A,
Brooklyn,13,,https://www1.nyc.gov/site/brooklyncb13/index.page,
Brooklyn,14,,http://www.cb14brooklyn.com/,
Brooklyn,15,https://www1.nyc.gov/assets/brooklyncb15/downloads/pdf/minutes/feb26minutes.pdf,,
Brooklyn,16,https://www1.nyc.gov/assets/brooklyncb16/downloads/pdf/minutes/2019/1-%2022-2019.pdf,https://www1.nyc.gov/site/brooklyncb16/index.page,
Brooklyn,17,,N/A,
Brooklyn,18,,N/A,
Bronx,1,https://www1.nyc.gov/assets/bronxcb1/pdf/Binder1.pdf,https://www1.nyc.gov/site/bronxcb1/index.page,
Bronx,2,,http://bxcb2.org/,
Bronx,3,,http://www.bronxmall.com/commboards/minutes3.html,
Bronx,4,,https://www1.nyc.gov/site/bronxcb4/index.page,
Bronx,5,,https://www1.nyc.gov/site/bronxcb5/index.page,
Bronx,6,https://drive.google.com/file/d/0B47JDA2O2C1iZ0F5U1YwSUI0QTdVcnAyYjAxQ25sN1FRSkU0/view,http://bronxcb6.org/,
Bronx,7,,http://www.bronxcb7.info/,
Bronx,8,https://www1.nyc.gov/html/bxcb8/html/board/minutes.shtml,https://www1.nyc.gov/html/bxcb8/html/home/home.shtml,
Bronx,9,,https://www1.nyc.gov/site/bronxcb9/index.page,
Bronx,10,https://www1.nyc.gov/assets/bronxcb10/downloads/pdf/minutes_cb10_20191701.pdf,https://www1.nyc.gov/site/bronxcb10/index.page,
Bronx,11,https://www1.nyc.gov/assets/bronxcb11/downloads/pdf/meetings/minutes/2019/1/full_board.pdf,https://www1.nyc.gov/site/bronxcb11/index.page,Adi
Bronx,12,,http://www1.nyc.gov/site/bronxcb12/index.page,
Manhattan,1,https://www1.nyc.gov/assets/manhattancb1/downloads/pdf/full-board-meeting-minutes/19-01-22.pdf,https://www1.nyc.gov/site/manhattancb1/index.page,
Manhattan,2,https://www1.nyc.gov/html/mancb2/downloads/pdf/fullboard_2019/01%20January%202019.pdf,https://www1.nyc.gov/html/mancb2/html/home/home.shtml,
Manhattan,3,https://www1.nyc.gov/html/mancb3/html/meeting/meeting_vote_records.shtml,,
Manhattan,4,https://www1.nyc.gov/html/mancb4/html/home/home.shtml,https://www1.nyc.gov/html/mancb4/html/home/home.shtml,
Manhattan,5,,https://www.cb5.org/cb5m/?,
Manhattan,6,http://cbsix.org/full-board/,http://cbsix.org/,
Manhattan,7,https://www1.nyc.gov/site/manhattancb7/meetings/minutes.page,https://www1.nyc.gov/site/manhattancb7/index.page,
Manhattan,8,https://www.cb8m.com/event/land-use-committee-full-board-meeting-2/,https://www.cb8m.com/,
Manhattan,9,http://www.cb9m.org/pdf-archives/minutes/executive/dec-2018.pdf,http://www.cb9m.org/,Aaron
Manhattan,10,https://www1.nyc.gov/html/mancb10/downloads/pdf/february_2019_gbm_minutes.pdf,https://www1.nyc.gov/html/mancb10/html/home/home.shtml,
Manhattan,11,http://www.cb11m.org/minutes-letters/,http://www.cb11m.org/,
Manhattan,12,https://www1.nyc.gov/html/mancb12/downloads/pdf/draft_ec_mtg_1_15_2019.pdf,https://www1.nyc.gov/html/mancb12/html/home/home.shtml,Kaelyn
Queens,1,https://www1.nyc.gov/site/queenscb1/calendar/board-meeting-agendas-minutes.page,https://www1.nyc.gov/site/queenscb1/index.page,
Queens,2,https://www1.nyc.gov/assets/queenscb2/downloads/pdf/February_7_2019_Community_Board_2_Meeting_Minutes_Final_DKS.pdf,https://www1.nyc.gov/site/queenscb2/index.page,
Queens,3,,http://www.cb3qn.nyc.gov/,
Queens,4,https://www1.nyc.gov/site/queenscb4/meetings/minutes.page,https://www1.nyc.gov/site/queenscb4/index.page,
Queens,5,https://www1.nyc.gov/site/queenscb5/meetings/minutes.page,https://www1.nyc.gov/site/queenscb5/index.page,
Queens,6,https://www1.nyc.gov/site/queenscb6/meetings/meeting-minutes.page,https://www1.nyc.gov/site/queenscb6/index.page,
Queens,7,,N/A,
Queens,8,https://www1.nyc.gov/site/queenscb8/meetings/board-meeting-minutes.page,https://www1.nyc.gov/site/queenscb8/index.page,
Queens,9,https://www1.nyc.gov/assets/queenscb9/downloads/pdf/January_8_2019_Minutes.pdf,https://www1.nyc.gov/site/queenscb9/index.page,Megan
Queens,10,https://www1.nyc.gov/assets/queenscb10/downloads/pdf/minutes/website_february_2019_minutes.pdf,https://www1.nyc.gov/site/queenscb10/index.page,
Queens,11,,https://www1.nyc.gov/site/queenscb11/index.page,
Queens,12,,https://www1.nyc.gov/site/queenscb12/index.page,
Queens,13,,https://www1.nyc.gov/site/queenscb13/index.page,
Queens,14,,https://www1.nyc.gov/site/queenscb14/index.page,
Staten Island,1,https://www1.nyc.gov/assets/statenislandcb1/downloads/pdf/full_board_meeting_january_8_2019.pdf,https://www1.nyc.gov/site/statenislandcb1/index.page,
Staten Island,2,,N/A,
Staten Island,3,https://www1.nyc.gov/assets/statenislandcb3/downloads/pdf/01_22_19.pdf,https://www1.nyc.gov/site/statenislandcb3/index.page,Hannah